timestamp (seconds since 01/01/1970), system, entity , value (°c)
1516839957.974, lauv-xplore-1, Mainboard (Board), 21.562
1516839958.062, lauv-xplore-1, Depth Sensor, 10.348
1516839958.162, lauv-xplore-1, Depth Sensor, 10.348
1516839958.262, lauv-xplore-1, Depth Sensor, 10.348
1516839958.362, lauv-xplore-1, Depth Sensor, 10.348
1516839958.405, lauv-xplore-1, Power Supply, 14.000
1516839958.462, lauv-xplore-1, Depth Sensor, 10.348
1516839958.561, lauv-xplore-1, Depth Sensor, 10.348
1516839958.605, lauv-xplore-1, Power Supply, 14.000
1516839958.662, lauv-xplore-1, Depth Sensor, 10.331
1516839958.735, lauv-xplore-1, Power Supply, 14.000
1516839958.742, lauv-xplore-1, Power Supply, 14.000
1516839958.761, lauv-xplore-1, Depth Sensor, 10.331
1516839958.806, lauv-xplore-1, Power Supply, 14.000
1516839958.810, lauv-xplore-1, Water Quality Sensor, 14.048
1516839958.861, lauv-xplore-1, Depth Sensor, 10.331
1516839958.940, lauv-xplore-1, Motor Controller (MCU), 23.000
1516839958.940, lauv-xplore-1, Motor Controller (Bridge), 12.000
1516839958.940, lauv-xplore-1, Motor, 10.000
1516839958.961, lauv-xplore-1, Depth Sensor, 10.331
1516839958.973, lauv-xplore-1, Mainboard (Core), 25.437
1516839958.974, lauv-xplore-1, Mainboard (SuperIO), 23.250
1516839958.974, lauv-xplore-1, Mainboard (Board), 21.562
1516839959.006, lauv-xplore-1, Power Supply, 13.500
1516839959.061, lauv-xplore-1, Depth Sensor, 10.331
1516839959.144, lauv-xplore-1, Power Supply, 14.000
1516839959.163, lauv-xplore-1, Depth Sensor, 10.331
1516839959.206, lauv-xplore-1, Power Supply, 14.000
1516839959.262, lauv-xplore-1, Depth Sensor, 10.331
1516839959.362, lauv-xplore-1, Depth Sensor, 10.331
1516839959.462, lauv-xplore-1, Depth Sensor, 10.331
1516839959.562, lauv-xplore-1, Depth Sensor, 10.331
1516839959.661, lauv-xplore-1, Depth Sensor, 10.331
1516839959.707, lauv-xplore-1, Power Supply, 14.000
1516839959.761, lauv-xplore-1, Depth Sensor, 10.331
1516839959.811, lauv-xplore-1, Water Quality Sensor, 14.048
1516839959.861, lauv-xplore-1, Depth Sensor, 10.331
1516839959.906, lauv-xplore-1, Power Supply, 13.500
1516839959.961, lauv-xplore-1, Depth Sensor, 10.331
1516839959.974, lauv-xplore-1, Mainboard (Core), 25.250
1516839959.974, lauv-xplore-1, Mainboard (SuperIO), 23.062
1516839959.974, lauv-xplore-1, Mainboard (Board), 21.562
1516839959.989, lauv-xplore-1, Power Supply, 14.000
1516839959.996, lauv-xplore-1, Power Supply, 14.000
1516839960.061, lauv-xplore-1, Depth Sensor, 10.331
1516839960.106, lauv-xplore-1, Power Supply, 14.000
1516839960.161, lauv-xplore-1, Depth Sensor, 10.331
1516839960.261, lauv-xplore-1, Depth Sensor, 10.331
1516839960.306, lauv-xplore-1, Power Supply, 14.000
1516839960.362, lauv-xplore-1, Depth Sensor, 10.331
1516839960.462, lauv-xplore-1, Depth Sensor, 10.331
1516839960.507, lauv-xplore-1, Power Supply, 14.000
1516839960.562, lauv-xplore-1, Depth Sensor, 10.331
1516839960.661, lauv-xplore-1, Depth Sensor, 10.348
1516839960.761, lauv-xplore-1, Depth Sensor, 10.348
1516839960.811, lauv-xplore-1, Water Quality Sensor, 14.045
1516839960.861, lauv-xplore-1, Depth Sensor, 10.348
1516839960.961, lauv-xplore-1, Depth Sensor, 10.348
1516839960.973, lauv-xplore-1, Mainboard (Core), 25.250
1516839960.974, lauv-xplore-1, Mainboard (SuperIO), 23.062
1516839960.974, lauv-xplore-1, Mainboard (Board), 21.562
1516839961.007, lauv-xplore-1, Power Supply, 14.000
